Date,SPY.US
2015-05-01,177.2942
2015-05-04,177.7991
2015-05-05,175.7629
2015-05-06,175.0393
2015-05-07,175.7377
2015-05-08,178.0515
2015-05-11,177.2017
2015-05-12,176.6716
2015-05-13,176.7053
2015-05-14,178.5479
2015-05-15,178.7414
2015-05-18,179.2967
2015-05-19,179.2378
2015-05-20,179.1116
2015-05-21,179.6332
2015-05-22,179.2041
2015-05-26,177.2774
2015-05-27,178.9601
2015-05-28,178.7582
2015-05-29,177.6476
2015-06-01,178.0094
2015-06-02,177.8327
2015-06-03,178.3039
2015-06-04,176.7978
2015-06-05,176.4949
2015-06-08,175.4096
2015-06-09,175.3843
2015-06-10,177.4877
2015-06-11,178.0599
2015-06-12,176.6969
2015-06-15,175.9396
2015-06-16,176.8988
2015-06-17,177.1848
2015-06-18,179.0275
2015-06-19,178.2327
2015-06-22,179.1458
2015-06-23,179.2726
2015-06-24,177.9706
2015-06-25,177.4295
2015-06-26,177.3957
2015-06-29,173.6757
2015-06-30,174.0392
2015-07-01,175.4342
2015-07-02,175.2736
2015-07-06,174.7748
2015-07-07,175.8739
2015-07-08,172.9232
2015-07-09,173.236
2015-07-10,175.4173
2015-07-13,177.3534
2015-07-14,178.1228
2015-07-15,178.0636
2015-07-16,179.4925
2015-07-17,179.6446
2015-07-20,179.7376
2015-07-21,179.0275
2015-07-22,178.7062
2015-07-23,177.7001
2015-07-24,175.857
2015-07-27,174.8339
2015-07-28,176.9814
2015-07-29,178.1989
2015-07-30,178.2412
2015-07-31,177.9706
2015-08-03,177.3703
2015-08-04,177.0237
2015-08-05,177.6071
2015-08-06,176.1529
2015-08-07,175.8147
2015-08-10,178.0298
2015-08-11,176.4234
2015-08-12,176.6348
2015-08-13,176.415
2015-08-14,177.0575
2015-08-17,178.0467
2015-08-18,177.531
2015-08-19,176.1275
2015-08-20,172.4497
2015-08-21,167.2586
2015-08-24,160.2158
2015-08-25,158.3304
2015-08-26,164.4093
2015-08-27,168.476
2015-08-28,168.4845
2015-08-31,167.1233
2015-09-01,162.135
2015-09-02,165.2125
2015-09-03,165.3309
2015-09-04,162.8283
2015-09-08,166.9204
2015-09-09,164.6884
2015-09-10,165.5845
2015-09-11,166.337
2015-09-14,165.7198
2015-09-15,167.7912
2015-09-16,169.2454
2015-09-17,168.865
2015-09-18,166.1055
2015-09-21,166.9638
2015-09-22,164.7967
2015-09-23,164.5332
2015-09-24,163.9383
2015-09-25,163.8958
2015-09-28,159.7825
2015-09-29,159.876
2015-09-30,162.859
2015-10-01,163.2839
